chunk_00268202-0fa4-11f0-a371-6045bdbda282\57	<b>director at larger companies.</b> <b>Anything where you're trying to work</b> <b>across global partners</b> <b>between R&D like new product</b> <b>development and commercial.</b> <b>That's my sweet spot.</b> <b>But based on timing like now we're either</b> <b>figuring out do we</b> <b>continue to live in Japan?</b> <b>Do we have to jump back to Chicago?</b> <b>And if we can get all this optimized like</b> <b>I'd be good at it</b> <b>because I'm deeply competent</b> <b>at people development, finding a good</b> <b>strategic vision and fit</b> <b>for the business to pursue.</b> <b>I love it.</b> <b>It lights me up to lead large</b>	director at larger companies. Anything where you're trying to work across global partners between R&D, like new product development and commercial. That's my sweet spot. But based on timing, like now we're either figuring out do we continue to live in Japan? Do we have to jump back to Chicago? And if we can get all this optimized, like I'd be good at it because I'm deeply competent at people development, finding a good strategic vision and fit for the business to pursue. I love it. It lights me up to lead large
chunk_0008c1e2-0fa2-11f0-ba92-6045bdb25344\77	is printing so first j value is one one so one is printed so next again comes here next comes here so j value is first one next is 2 again print we are printing 2 is printed so like two three four Five goes up to five. One two three four five. Now it's all over. Then the inner for loop is all stopped. Here the cursor	is printing, so first j value is one. So one is printed. Next, again comes here. Next comes here. So j value is first one. Next is 2. Again, we are printing. 2 is printed. So like two, three, four, five, goes up to five. One two three four five. Now it's all over. Then the inner for loop is all stopped. Here the cursor
chunk_00268202-0fa4-11f0-a371-6045bdbda282\63	no one is or you know people say you know it took me 200 to fill up my gargantuan SUV the reporters aren't saying well why don't you get a Nissan Leaf they're saying oh my gosh that's awful we have to get gas prices down, and so just you know the, the politicians the electorate the way this is covered in the media is just com completely hamstring in any kind of useful action in the U.S. uh, basically different things in different countries you know when the un had	no one is, or you know, people say, you know, it took me 200 to fill up my gargantuan SUV. The reporters aren't saying, well, why don't you get a Nissan Leaf? They're saying, oh my gosh, that's awful, we have to get gas prices down. And so, just, you know, the politicians, the electorate, the way this is covered in the media is just completely hamstringing any kind of useful action in the U.S. Basically, different things in different countries, you know, when the UN had
chunk_00268202-0fa4-11f0-a371-6045bdbda282\92	we don't have this in we could just import math okay let be me because I'm getting tired to always ask him to do something so let's contrl n and see if that will be executed now it's successfully executed okay what we have on MotionBuilder now do we have anything animated wow! this is great this is waving it's animated waving so this is our result we have in MotionBuilder and I think	we don't have this in, we could just import math. Okay, let it be me because I'm getting tired of always asking him to do something. So let's control N and see if that will be executed. Now it's successfully executed. Okay, what do we have on MotionBuilder now? Do we have anything animated? Wow! This is great, this is waving, it's animated waving. So this is our result we have in MotionBuilder, and I think
chunk_00127e7a-0fa3-11f0-b5d7-7c1e528b4069\55	<b>It doesn't get any signal</b> <b>for them, then, then this.</b> <b>So, and when I walk you through it, it's</b> <b>all going to make sense.</b> <b>But here it's basically all</b> <b>documented just for reference.</b> <b>Okay, let's move into core content.</b> <b>So let's sign in here.</b> <b>And I think this will bring us here into</b> <b>admin center and we need to go then into</b>	It doesn't get any signal for them, then this. So, when I walk you through it, it's all going to make sense. But here it's basically all documented just for reference. Okay, let's move into core content. So let's sign in here. And I think this will bring us here into admin center and we need to go then into
chunk_00139020-0fa4-11f0-b8df-7c1e528ae6e0\14	its destination unknown this means that if a Beast Master dies no matter how strong their soul beast is it will perish as well this has been the greatest challenge troubling beast masters for centuries the Monarch Project was established in the Majin district to enhance the qualifications of beast tamers enabling them to contract with more and stronger soul beasts thus addressing the weakness of strong beasts and weak masters there was a sense of urgency in Instructor Chen's words as he continued after the tournament you will officially join the Emperor organization	its destination is unknown. This means that if a Beast Master dies, no matter how strong their soul beast is, it will perish as well. This has been the greatest challenge troubling beast masters for centuries. The Monarch Project was established in the Majin district to enhance the qualifications of beast tamers, enabling them to contract with more and stronger soul beasts, thus addressing the weakness of strong beasts and weak masters. There was a sense of urgency in Instructor Chen's words as he continued, after the tournament, you will officially join the Emperor organization
chunk_0008c1e2-0fa2-11f0-ba92-6045bdb25344\59	the Hub take on outside of uh just coordinating and managing the regional nodes okay awesome thank you maram um okay so just want to let everyone know we uh still have over a 100 unanswered questions and we've got about 20 minutes left so just giv a check on time here um really really appreciate all of your involvement and interests um won't be able to get to all these questions but again want to reassure	the Hub take on outside of just coordinating and managing the regional nodes. Okay, awesome, thank you Maram. Okay, so just want to let everyone know we still have over 100 unanswered questions, and we've got about 20 minutes left, so just give a check on time here. Really really appreciate all of your involvement and interests. Won't be able to get to all these questions but again want to reassure
chunk_001fa202-0fa4-11f0-9924-7c1e528aea64\178	we have one winner already there Amit Jen please contact the backend team of Deens soft and they will give you the access to the content so now I have up to 34 so let me change this 34 generate 31 31 Nishant wow you participated late and came lucky fellow Nishant are you there confirm that you are there	we have one winner already there, Amit Jen. Please contact the backend team of Deens Soft, and they will give you the access to the content. Now I have up to 34, so let me change this 34, generate 31. Nishant, wow, you participated late and came lucky fellow. Nishant, are you there? Confirm that you are there.
chunk_00268202-0fa4-11f0-a371-6045bdbda282\171	for one single person to have that expertise and that oversight which is why AI is moving moving much faster than blockchain because you don't have that that limitation with AI you can have a small team of three focused on a tiny use case massive data set good compute and then I'll go with you train over and over and over blockchain is different you need to understand law you need to understand currency you need to understand Tech to understand Finance there's so many different	for one single person to have that expertise and that oversight, which is why AI is moving much faster than blockchain, because you don't have that limitation with AI. You can have a small team of 3 focused on a tiny use case, massive data set, good compute, and then I'll go with you, train over and over. Blockchain is different; you need to understand law, you need to understand currency, you need to understand Tech, to understand Finance. There's so many different
chunk_00268202-0fa4-11f0-a371-6045bdbda282\143	image exoplanets that are otherwise hidden in the glare of their host Stars this technology could significantly Advance our ability to directly observe and study exoplanet potentially even those with conditions suitable for life these technological advancements collectively represent a golden age in exoplate Discovery each new instrument Builds on the successes of its predecessors offering higher Precision broader capabilities and more opportunities	image exoplanets that are otherwise hidden in the glare of their host stars. This technology could significantly advance our ability to directly observe and study exoplanets potentially even those with conditions suitable for life. These technological advancements collectively represent a golden age in exoplanet discovery. Each new instrument builds on the successes of its predecessors, offering higher precision, broader capabilities and more opportunities
